x,y,t,concentration
0.0,0.0,0.0,2.2103349154917934e-10
0.0,0.0,0.05263157894736842,1.960222986721098e-07
0.0,0.0,0.10526315789473684,4.669929142105529e-06
0.0,0.0,0.15789473684210525,2.788881732518847e-05
0.0,0.0,0.21052631578947367,8.514475847500654e-05
0.0,0.0,0.2631578947368421,0.00017881422919571814
0.0,0.0,0.3157894736842105,0.00029869820374769387
0.0,0.0,0.3684210526315789,0.0004295990342868313
0.0,0.0,0.42105263157894735,0.0005574674076223442
0.0,0.0,0.47368421052631576,0.0006721275508652061
0.0,0.0,0.5263157894736842,0.0007676226627617243
0.0,0.0,0.5789473684210527,0.0008414761832760918
0.0,0.0,0.631578947368421,0.0008936761898888925
0.0,0.0,0.6842105263157894,0.0009257537353080239
0.0,0.0,0.7368421052631579,0.0009400738611502569
0.0,0.0,0.7894736842105263,0.0009393418843493516
0.0,0.0,0.8421052631578947,0.0009262858973503495
0.0,0.0,0.894736842105263,0.0009034691386272946
0.0,0.0,0.9473684210526315,0.000873191800788879
0.0,0.0,1.0,0.0008374511638676448
0.0,0.04081632653061224,0.0,1.565298682911829e-09
0.0,0.04081632653061224,0.05263157894736842,7.372770996292528e-07
0.0,0.04081632653061224,0.10526315789473684,1.2904817829202287e-05
0.0,0.04081632653061224,0.15789473684210525,6.421469217940642e-05
0.0,0.04081632653061224,0.21052631578947367,0.00017377409697144093
0.0,0.04081632653061224,0.2631578947368421,0.0003349915136591737
0.0,0.04081632653061224,0.3157894736842105,0.0005249107945842944
0.0,0.04081632653061224,0.3684210526315789,0.0007184222720005924
0.0,0.04081632653061224,0.42105263157894735,0.0008960873756383875
0.0,0.04081632653061224,0.47368421052631576,0.0010460448007093208
0.0,0.04081632653061224,0.5263157894736842,0.001162980555440645
0.0,0.04081632653061224,0.5789473684210527,0.0012462422837735004
0.0,0.04081632653061224,0.631578947368421,0.001298064018787514
0.0,0.04081632653061224,0.6842105263157894,0.001322209243658203
